county,fair,year,apple_type,apple_totals
Knox ,Knox Co.,1882,Northern Spy,33
Knox ,Knox Co.,1882,Peck's Pleasant,33
Knox ,Knox Co.,1882,Pippin,33
Knox ,Knox Co.,1882,Porter,33
Knox ,Knox Co.,1882,R. I. Greening,33
Knox ,Knox Co.,1882,Roxbury Russet,33
Knox ,Knox Co.,1882,Russet,33
Knox ,Knox Co.,1882,Sweet Russet,33
Knox ,Knox Co.,1882,Talman Sweet,33
Knox ,Knox Co.,1882,Tompkins King,33
Knox ,Knox Co.,1882,Twenty Ounce,33
Knox ,Knox Co.,1882,Union Pippin,33
Knox ,Knox Co.,1882,Wagner,33
Knox ,Knox Co.,1882,William's Favorite,33
Knox ,Knox Co.,1882,Yellow Bellflower,33
Knox ,Knox Co.,1883,(Pear) Vicar of Wakefield,25
Knox ,Knox Co.,1883,Baldwin,25
Knox ,Knox Co.,1883,Ben Davis,25
Knox ,Knox Co.,1883,Duchess of Oldenberg,25
Knox ,Knox Co.,1883,Fall Greening,25
Knox ,Knox Co.,1883,Famuese,25
Knox ,Knox Co.,1883,Fletcher Sweet,25
Knox ,Knox Co.,1883,Golden Russet,25
Knox ,Knox Co.,1883,Haas,25
Knox ,Knox Co.,1883,Hard To Beat,25
Knox ,Knox Co.,1883,Hubbardston Nonsuch,25
Knox ,Knox Co.,1883,N. Y. Greening,25
Knox ,Knox Co.,1883,Newton Pippin,25
Knox ,Knox Co.,1883,Northern Spy,25
Knox ,Knox Co.,1883,Pippin,25
Knox ,Knox Co.,1883,Porter,25
Knox ,Knox Co.,1883,R. I. Greening,25
Knox ,Knox Co.,1883,Ribston Pippin,25
Knox ,Knox Co.,1883,Roxbury Russet,25
Knox ,Knox Co.,1883,Strawberry,25
Knox ,Knox Co.,1883,Talman Sweet,25
Knox ,Knox Co.,1883,Tompkins King,25
Knox ,Knox Co.,1883,Twenty Ounce,25
Knox ,Knox Co.,1883,Wagner,25
Knox ,Knox Co.,1883,Yellow Bellflower,25
Knox ,Knox Co.,1884,(Pear) Barltett,12
Knox ,Knox Co.,1884,(Pear) Bonne de Jersey,12
Knox ,Knox Co.,1884,(Pear) Buerre de Anjou,12
Knox ,Knox Co.,1884,Alexander,12
Knox ,Knox Co.,1884,Barton Pippin,12
Knox ,Knox Co.,1884,Blue Pearmain,12
Knox ,Knox Co.,1884,Famuese,12
Knox ,Knox Co.,1884,Hunt's Red,12
Knox ,Knox Co.,1884,McIntosh Red,12
Knox ,Knox Co.,1884,Porter,12
Knox ,Knox Co.,1884,Thompson,12
Knox ,Knox Co.,1884,Twenty Ounce Pippin,12
Knox ,Knox Co.,1885,(Pear) Barltett,46
Knox ,Knox Co.,1885,(Pear) Beurre Bosc,46
Knox ,Knox Co.,1885,(Pear) Beurre Clairgeau,46
Knox ,Knox Co.,1885,(Pear) Beurre Hardy,46
Knox ,Knox Co.,1885,(Pear) Bonne de Jersey,46
Knox ,Knox Co.,1885,(Pear) Buerre de Anjou,46
Knox ,Knox Co.,1885,(Pear) Clapps Favorite,46
Knox ,Knox Co.,1885,(Pear) Vicar of Wakefield,46
Knox ,Knox Co.,1885,Alexandria,46
Knox ,Knox Co.,1885,Baldwin,46
Knox ,Knox Co.,1885,Ben Davis,46
Knox ,Knox Co.,1885,Black Oxford,46
Knox ,Knox Co.,1885,Blue Pearmain,46
Knox ,Knox Co.,1885,Cathead,46
Knox ,Knox Co.,1885,Early Harvest,46
Knox ,Knox Co.,1885,Fall Greening,46
Knox ,Knox Co.,1885,Fall Pippin,46
Knox ,Knox Co.,1885,Famuese,46
Knox ,Knox Co.,1885,French Russet,46
Knox ,Knox Co.,1885,Golden Sweet,46
Knox ,Knox Co.,1885,Gravenstein,46
Knox ,Knox Co.,1885,Haas,46
Knox ,Knox Co.,1885,Hubbardston Nonsuch,46
Knox ,Knox Co.,1885,McIntosh Red,46
Knox ,Knox Co.,1885,Minister,46
Knox ,Knox Co.,1885,Newton Pippin,46
Knox ,Knox Co.,1885,Northern Spy,46
Knox ,Knox Co.,1885,Peck's Pleasant,46
Knox ,Knox Co.,1885,Philadelphia Pippin,46
Knox ,Knox Co.,1885,Pippin,46
Knox ,Knox Co.,1885,Porter,46
Knox ,Knox Co.,1885,R. I. Greening,46
Knox ,Knox Co.,1885,Red Astrachan,46
Knox ,Knox Co.,1885,Ribston Pippin,46
Knox ,Knox Co.,1885,Roxbury Russet,46
Knox ,Knox Co.,1885,Stump,46
Knox ,Knox Co.,1885,Swaar,46
Knox ,Knox Co.,1885,Sweet Porter,46
Knox ,Knox Co.,1885,Tompkins King,46
Knox ,Knox Co.,1885,Twenty Ounce,46
Knox ,Knox Co.,1885,Wagner,46
Knox ,Knox Co.,1885,Wealthy,46
Knox ,Knox Co.,1885,William's Favorite,46
Knox ,Knox Co.,1885,Winter Greening,46
Knox ,Knox Co.,1885,Winthrop Greening,46
Knox ,Knox Co.,1885,Yellow Bellflower,46
Knox ,Knox Co.,1886,(Pear) Barltett,37
Knox ,Knox Co.,1886,(Pear) Bell Lucrative,37
Knox ,Knox Co.,1886,(Pear) Buerre de Anjou,37
Knox ,Knox Co.,1886,(Pear) Howell,37
Knox ,Knox Co.,1886,(Pear) Louise Bonnie,37
Knox ,Knox Co.,1886,(Pear) Seckel,37
Knox ,Knox Co.,1886,(Pear) Sheldon,37
Knox ,Knox Co.,1886,(Pear) Vicar of Wakefield,37
Knox ,Knox Co.,1886,Alexander,37
Knox ,Knox Co.,1886,Baldwin,37
Knox ,Knox Co.,1886,Bell's Early,37
Knox ,Knox Co.,1886,Duchess of Oldenberg,37
Knox ,Knox Co.,1886,Fall Greening,37
Knox ,Knox Co.,1886,Fall Pippin,37
Knox ,Knox Co.,1886,Famuese,37
Knox ,Knox Co.,1886,French Russet,37
Knox ,Knox Co.,1886,Golden Russet,37
Knox ,Knox Co.,1886,Gravenstein,37
Knox ,Knox Co.,1886,Hart's Red,37
Knox ,Knox Co.,1886,Hubbardston Nonsuch,37
Knox ,Knox Co.,1886,Maiden Blush,37
Knox ,Knox Co.,1886,Nod Head,37
Knox ,Knox Co.,1886,Northern Spy,37
Knox ,Knox Co.,1886,Peck's Pleasant,37
Knox ,Knox Co.,1886,Pewaukee,37
Knox ,Knox Co.,1886,Porter,37
Knox ,Knox Co.,1886,R. I. Greening,37
Knox ,Knox Co.,1886,Red Astrachan,37
Knox ,Knox Co.,1886,Roxbury Russet,37
Knox ,Knox Co.,1886,Swaar,37
Knox ,Knox Co.,1886,Sweet Russet,37
Knox ,Knox Co.,1886,Talman Sweet,37
Knox ,Knox Co.,1886,Tompkins King,37
Knox ,Knox Co.,1886,Wagence,37
Knox ,Knox Co.,1886,Wealthy,37
Knox ,Knox Co.,1886,William's Favorite,37
Knox ,Knox Co.,1886,Yellow Bellflower,37
Knox ,Knox Co.,1887,(Pear) Barltett,48
Knox ,Knox Co.,1887,(Pear) Bell Lucrative,48
Knox ,Knox Co.,1887,(Pear) Bonne de Jersey,48
Knox ,Knox Co.,1887,(Pear) Buerre de Anjou,48
Knox ,Knox Co.,1887,(Pear) Clapps Favorite,48
Knox ,Knox Co.,1887,(Pear) Duchess,48
Knox ,Knox Co.,1887,(Pear) Duchesse D'Angouleme,48
Knox ,Knox Co.,1887,(Pear) Howell,48
Knox ,Knox Co.,1887,(Pear) Orange,48
Knox ,Knox Co.,1887,(Pear) Pratt,48
Knox ,Knox Co.,1887,(Pear) Rockland Beauty,48
Knox ,Knox Co.,1887,(Pear) Seckel,48
Knox ,Knox Co.,1887,(Pear) Vicar of Wakefield,48
Knox ,Knox Co.,1887,Alexander,48
Knox ,Knox Co.,1887,Alexandria,48
Knox ,Knox Co.,1887,Baldwin,48
Knox ,Knox Co.,1887,Ben Davis,48
Knox ,Knox Co.,1887,Blue Pearmain,48
Knox ,Knox Co.,1887,Early Strawberry,48
Knox ,Knox Co.,1887,Fall Geneting,48
Knox ,Knox Co.,1887,Fall Greening,48
Knox ,Knox Co.,1887,Fall Harvey,48
Knox ,Knox Co.,1887,Fall Pippin,48
Knox ,Knox Co.,1887,Famuese,48
Knox ,Knox Co.,1887,Fletcher Sweet,48
Knox ,Knox Co.,1887,Golden Russet,48
Knox ,Knox Co.,1887,Gravenstein,48
Knox ,Knox Co.,1887,Hart's Red,48
Knox ,Knox Co.,1887,Hubbardston Nonsuch,48
Knox ,Knox Co.,1887,Munson Sweet,48
Knox ,Knox Co.,1887,Newton Pippin,48
Knox ,Knox Co.,1887,Northern Spy,48
Knox ,Knox Co.,1887,Oxford,48
Knox ,Knox Co.,1887,Peck's Pleasant,48
Knox ,Knox Co.,1887,Pewaukee,48
Knox ,Knox Co.,1887,Porter,48
Knox ,Knox Co.,1887,Pumpkin Sweet,48
Knox ,Knox Co.,1887,R. I. Greening,48
Knox ,Knox Co.,1887,Red Astrachan,48
Knox ,Knox Co.,1887,Ribston Pippin,48
Knox ,Knox Co.,1887,Roxbury Russet,48
Knox ,Knox Co.,1887,Sweet Bough,48
Knox ,Knox Co.,1887,Talman Sweet,48
Knox ,Knox Co.,1887,Tompkins King,48
Knox ,Knox Co.,1887,Twenty Ounce,48
Knox ,Knox Co.,1887,Wagner,48
Knox ,Knox Co.,1887,William's Favorite,48
Knox ,Knox Co.,1887,Yellow Bellflower,48
Knox ,Knox Co.,1888,(Pear) Clapps Favorite,39
Knox ,Knox Co.,1888,(Pear) Howell,39
Knox ,Knox Co.,1888,(Pear) Michigan Early Harvest,39
Knox ,Knox Co.,1888,Alexandria,39
Knox ,Knox Co.,1888,Baldwin,39
Knox ,Knox Co.,1888,Bell's Early,39
Knox ,Knox Co.,1888,Ben Davis,39
Knox ,Knox Co.,1888,Black Oxford,39
Knox ,Knox Co.,1888,Blue Pearmain,39
Knox ,Knox Co.,1888,Duchess of Oldenberg,39
Knox ,Knox Co.,1888,Fall Geneting,39
Knox ,Knox Co.,1888,Fall Greening,39
Knox ,Knox Co.,1888,Fall Porter,39
Knox ,Knox Co.,1888,Famuese,39
Knox ,Knox Co.,1888,Golden Russet,39
Knox ,Knox Co.,1888,Gravenstein,39
Knox ,Knox Co.,1888,Hart's Red,39
Knox ,Knox Co.,1888,Hubbardston Nonsuch,39
Knox ,Knox Co.,1888,Martha Stripe,39
Knox ,Knox Co.,1888,McIntosh Red,39
Knox ,Knox Co.,1888,Munson Sweet,39
Knox ,Knox Co.,1888,Newton Pippin,39
Knox ,Knox Co.,1888,Nod Head,39
Knox ,Knox Co.,1888,Northern Spy,39
Knox ,Knox Co.,1888,Peck's Pleasant,39
