Given_ID_Clean,Presumed_ID_Clean,uncertain
mother,mother,
mother,mother,
moses wood,moses wood,
morton,,?
morse early,,?
morcean,,?
moore's sweet,,?
moore's seedling,,?
moor's river russet,,?
moody sweet,,?
moody,moody,
montreal peach,peach of montreal,
montreal beauty crab,montreal beauty crab,
monstoon,,?
monster pippin,gloria mundi,
monster apple,gloria mundi,
monson's sweet,munson sweet,
monson sweet,munson sweet,
monroe sweet,monroe sweet,
monmouth pippin,monmouth,
monmouth black twig,mammoth black twig,
monmouth,monmouth,
monmoth pippin,monmouth,
monarch,,?
molasses sweet,,?
mohawk,,?
mocher,,?
minnesota,,?
minister,minister,
minister,minister,
milton,milton,
millwig,milden,
milding,milden,
milding,milden,
milding,milden,
mildew,milden,
milden,milden,
mild sour,,?
miland,milden,
middling,milden,
michigan greening,,?
michigan early harvest,,?
mexican,mexico,
merrill,,?
melon,melon,
mellon apple,melon,
mellen's favorite,,?
mellen sweet,,?
melden,milden,
mealy apple,,?
meallhy,wealthy,
mclellan,mclellan,
mcintosh red,mcintosh,
mcintosh red,mcintosh,
mcintosh red,mcintosh,
mcintosh,mcintosh,
mcintosh,mcintosh,
mcintosh,mcintosh,
mcclellan,mclellan,
mays apple,,?
maxim seedling,maxim seedling ,
mawn,,?
mathews stripe,lyscom,
massachusetts porter,,?
mass. greening,,?
mason,,?
mary's apple,,?
martha's crab,martha crab,
martha stripe,lyscom,
martha stripe,lyscom,
martha crab,martha crab,
marston,marston,
marshal,,?
marling russet,,?
marie louise,marie louise,
maria louise,marie louise,
marguerite,,?
marengo crab,,?
marde maidens blush,,?
marblehead,,?
mansons sweet,munson sweet,
manson sweet,munson sweet,
manning,,?
mann's,mann,
mann apple,mann,
mann,mann,
mann,mann,
manings elizabeth,,?
manchester strawberry,,?
man,mann,
mamoth cathead,,?
mammy sweet,,?
mammouth pippen,,?
mammoth sweet,,?
mammoth russet,,?
mammoth pippin,,?
mammoth greening,,?
mammoth,,?
mallet,,?
male carle,mela carla,
maith stripe,lyscom,
maine standard,,?
maine pippin,,?
maine northern spy,,?
maine harvey,,?
maine harvest,,?
maine greening,,?
maine beauty,,?
maine baldwin,,?
maine,mann,
maine,mann,
main,,?
maidens blush,maiden blush,
maidens blush,maiden blush,
maidens blush,maiden blush,
maiden's blush,maiden blush,
maiden's blush,maiden blush,
maiden's blush,maiden blush,
maiden's blush,maiden blush,
maiden-blush,maiden blush,
maiden blush,maiden blush,
maiden blush,maiden blush,
maiden blush,maiden blush,
magog redstreak,magog redstreak,
magog red streak,magog redstreak,
magog,magog redstreak,
madison strawberry,washington strawberry,
madaline,madeleine,
mackintosh red,mcintosh,
mackintosh red,mcintosh,
mackintosh greening,mcintosh,
mackintosh,mcintosh,
macintosh red,mcintosh,
macintosh,mcintosh,
maan,mann,
m. w. greening,northwest greening,
m. beauty crab,montreal beauty crab,
lyscomb,lyscom,
lyscom,lyscom,
lymington (striped),,?
lutton beauty,sutton beauty,
lumberting,,?
luister twig,,?
lovejoy sweet,,?
lovage,,?
louise bonnie,louise bonne de jersey,
louise bonne de jersey,louise bonne de jersey,
louise bonne de jersey,louise bonne de jersey,
louise bonne d'jersey,louise bonne de jersey,
louise bon de jersey,louise bonne de jersey,
louisa,louise bonne de jersey,
louis bonne de jersey,louise bonne de jersey,
lost tally,,?
loring sweet,,?
longfield,longfield,
longfield,longfield,
longfellow,,?
long stem sweeting,baker sweet,
long stem sweet,baker sweet,
long stem,baker sweet,
long john,long john,
long graft,,?
long field,longfield,
loamice,,?
littlefield beauty,,?
little nonesuch,,?
liscomb,lyscom,
lincoln sweet,,?
lincoln pippin,winthrop greening ,
lincoln pippin,winthrop greening ,
lincoln,,?
limbertwig greening,fall harvey,
limbertwig,,?
limberting,,?
limberstring,,?
limber twig russet,golden russet of western new york,
limber twig greening,fall harvey,
limber twig,,?
limba twig,,?
lewis bon de jersey,louise bonne de jersey,
lester sweet,leicester sweet,
lemon sweet,,?
lemon apple,,?
lee,,?
leafless greening,fall harvey,
leafless,fall harvey,
lead apple,,?
lawson,,?
lawrence,st. lawrence,
lawrence,lawrence,
lawrence,,?
lawler,lawver,
late winter,,?
late sweet,,?
late strawberry,late strawberry,
late pippin,,?
late mcintosh,,?
late astrachan,,?
large yellow bough,sweet bough,
large yellow bough,sweet bough,
langfield,longfield,
lancaster,,?
lake,lake,
lake,lake,
lady sweet,lady sweet,
lady suffield,,?
lady haley,,?
lady elgin crab,,?
lady crab,lady,
lady apple,lady,
ladies' sweeting,lady sweet ,
ladies' sweet,lady sweet,
ladies' sweet,lady sweet ,
ladies' sweet,lady sweet ,
ladies sweet,lady sweet ,
ladies blush,,?
ladie's sweet,lady sweet,
la rue,,?
kuffer,,?
koonce,,?
konkin red stripe,,?
knox greening,,?
knowlton sweet,,?
knowlton,,?
kingston russet,,?
kings pockit,,?
kings pocket,,?
king william,,?
king tompkins county,king of tompkins county,
king tompkins,king of tompkins county,
king tompkins,king of tompkins county,
king tompkins,king of tompkins county,
king tompkin,king of tompkins county,
king sweeting,,?
king sweet,,?
king pippin,,?
king philip sweet,,?
king of tompkins county,king of tompkins county,
king of tompkins county,king of tompkins county,
king of tompkins county,king of tompkins county,
king of tompkins co.,king of tompkins county,
king of tompkins,king of tompkins county,
king of tompkins,king of tompkins county,
king of thompkins co.,king of tompkins county,
king of franklin co.,,?
king of dilliam,,?
king edward,,?
king david,king david,
king david,king david,
king,king of tompkins county,
king,king of tompkins county,
king,king of tompkins county,
king,king of tompkins county,
king,king of tompkins county,
kimball,winthrop greening ,
kilmhill,kilham hill,
kilmhill,kilham hill,
killum hill,kilham hill,
killham hill,kilham hill,
killham hill,kilham hill,
killhain hill,kilham hill,
killernhill,kilham hill,
killen hill,kilham hill,
killam hill,kilham hill,
kiffer,keiffer,
kieffer,keiffer,
keswick codling,keswick codlin,
kerwicks codlin,keswick codlin,
kenwick codlin,keswick codling,
kentuck red,,?
kennebec greening,winthrop greening ,
kennebec,winthrop greening ,
kellum hill,kilham hill,
kellum hill,kilham hill,
kellomell,kilham hill,
keiffer,keiffer,
keiffer,keiffer,
keeper,keiffer,
keeper,keiffer,
kavanah russett,kavanagh russet,
kavanah russet,kavanagh russet,
kavanagh graft,kavanagh russet,
kavanagh,kavanagh russet,
kaneas red,arkansas red,
kalm hill,killum hill,
justin,,?
juneating,fall jenneting,
jumbo,,?
julienne,,?
judy sweet,,?
joshua sweet,,?
joseph's choice,,?
jordan sweet,,?
jonathan sweet,,?
jonathan,jonathan,
jonathan,jonathan,
johnson russet,,?
joe sweet,,?
jillyflower,black gilliflower,
jilly flower,black gilliflower,
jilliflower,black gilliflower,
jewetts,jewett's fine red,
jewett's fine red,jewett's fine red,
jewett's fine red,jewett's fine red,
jersey sweeting,jersey sweet,
jersey sweet,jersey sweet,
jersey sweet,jersey sweet,
jersey pippin,,?
jersey greening,,?
jersey crab,,?
jersey,,?
jenny swett,jersey sweet,
jennetting,,?
jennet's red,jewett's fine red,
jenetin,fall jenneting,
jelly flower,black gilliflower,
jelly crab,,?
jelly apple,black gilliflower,
jelliflower,black gilliflower,
jelley flower,black gilliflower,
jeffries,jeffries,
jeannette,fall jenneting,
jeanetting,fall jenneting,
january russet,,?
janettion,fall jenneting,
janetting,fall jenneting,
jacobs sweet,jacob sweet,
jacobs sweet,jacob sweet,
jacob's sweet,jacob sweet,
jacob sweet,jacob sweet,
jacob sweet,jacob sweet,
jacksons best,jacksons best,
jackson sweet,,?
jackson greening,,?
jack sweet,,?
jabe,jabe,
italian russet,italian russet,
ironstone,,?
iron clad greening,,?
iron ball,,?
ingalls,,?
indian queen,indian queen,
indian queen,indian queen,
improved pumpkin sweet,,?
improved greening,,?
improved fameuse,,?
improved ben davis,,?
imperial sweet,,?
imperial,,?
idaho,idaho,
hyssop crab,hyslop crab,
hyssop crab,hyslop crab,
hysop crab,hyslop crab,
hyslops crab,hyslop crab,
hyslop crab,hyslop crab,
hyslop crab,hyslop crab,
hyslop,hyslop crab,
huston pippin,,?
hurlebut,hurlbut,
hurlbut,hurlbut,
hurlburt,hurlbut,
hurlburt,hurlbut,
hurlbert stripe,hurlbut,
hurlbert,hurlbut,
hurbert,hurlbut,
hunter,,?
hunt's red,,?
hunt russett,hunt russet,
hunt russet,hunt russet,
hungarian crab,,?
hulbert,hurlbut,
hubertson monarch,hubbardston nonesuch,
hubbardstons nonesuch,hubbardston nonesuch,
hubbardstone,hubbardston nonesuch,
hubbardstone,hubbardston nonesuch,
hubbardston's nonesuch,hubbardston nonesuch,
hubbardston's nonesuch,hubbardston nonesuch,
hubbardston nonsuch,hubbardston nonesuch,
hubbardston nonsuch,hubbardston nonesuch,
hubbardston nonsuch,hubbardston nonesuch,
hubbardston nonesuch,hubbardston nonesuch,
hubbardston nonesuch,hubbardston nonesuch,
hubbardston none such,hubbardston nonesuch,
hubbardston,hubbardston nonesuch,
hubbardston,hubbardston nonesuch,
hubbardsten,hubbardston nonesuch,
hubbardstein,hubbardston nonesuch,
hubbardson's nonsuch,hubbardston nonesuch,
hubbardson nonsuch,hubbardston nonesuch,
hubbardson,hubbardston nonesuch,
hubbard nonesuch,hubbardston nonesuch,
hubbard nonesuch,hubbardston nonesuch,
hubbard,hubbardston nonesuch,
hubbard,hubbardston nonesuch,
hub. nonsuch,hubbardston nonesuch,
hub. nonesuch,hubbardston nonesuch,
hub. non.,hubbardston nonesuch,
hoyt's sweet,hoyt,
hoyt sweet,hoyt,
hoyt,hoyt,
howell winter,,?
howell,howell,
howell,howell,
howe,,?
houston,,?
house,,?
houdan,,?
horther,mother,
honey sweet,cummings sweet,
honey sweet,,?
honey pink,honey pink,
honey pink,honey pink,
honey,,?
home sweet,holmes sweet,
holman's russet,holman russet,
holman sweet,tolman sweet,
holman russet,holman russet,
holly water,fallawater,
holly,holly or hawley,
holly,,?
holly,,?
holly,,?
holland pippin,,?
hobbs' best crab,hobbs' best crab,
hobbs favorite,hobbs favorite,
hislop crab,hyslop crab,
hilton,,?
hightop sweeting,hightop sweet,
hightop sweet,hightop sweet,
hightop sweet,hightop sweet,
hightop,hightop sweet,
high-top sweet,hightop sweet,
high top sweeting,hightop sweet,
high top sweeting,hightop sweet,
high top sweet,hightop sweet,
high top sweet,hightop sweet,
high top sweet,hightop sweet,
high sweet,hightop sweet,
higgins greening,,?
hibbs,,?
hess,,?
hersey greening,,?
herrman's favorite,,?
herlbert,hurlbut,
henrietta sweet,,?
hendrick's sweet,,?
henderson sweet,,?
head russet,kavanagh russet,
haynes sweet,,?
hayford's sweet,hayford sweet,
hayford's sour,hayford's sour,
hay boy,,?
hawthornden,hawthornden,
hawthawden,hawthornden,
hawley,hawley,
hautboy,,?
hass,haas,
hass,haas,
haskell sweet,,?
harvey sweet,,?
harvey greening,fall harvey,
harvey greening,fall harvey,
harvey apple,fall harvey,
harvey,fall harvey,
harvey,fall harvey,
harvest sweet,,?
harvest queen,,?
harvest greenings,fall harvey,
harvest,,?
harvard,,?
hartford sweet,,?
hartford,,?
hart's red,,?
hart's,,?
hardy's winter,,?
hardy sweet,,?
hardy greening,,?
hardy,beurre hardy,
hardy,,?
harding,,?
hard to beat,,?
hamilton graft,,?
hallowell pippin,,?
halbert,hurlbut,
hacked apple,,?
haas,haas,
haas,haas,
haar,haas,
h. top sweet,hightop sweet,
h. nonesuch,hubbardston nonesuch,
gushee,gushee,
gurrington,,?
gurnthay,,?
gum golden,,?
guiner golden,grimes golden,
grimes' golden,grimes golden,
grimes' golden,grimes golden,
grimes golden pippin,grimes golden,
grimes golden,grimes golden,
grimes golden,grimes golden,
grimes,grimes golden,
grime's golden,grimes golden,
grime's golden,grimes golden,
grimace,,?
grey russet,pomme grise,
grey pippin,,?
greening,,?
greening,,?
green sweet,green sweet,
green russet,,?
green mountain,,?
green cooking,,?
green baldwin,,?
green,,?
great eastern,gravenstein,
gray russet,pomme grise,
graveston,gravenstein,
gravenstine,gravenstein,
gravenstein,gravenstein,
gravenstein,gravenstein,
graveline,gravenstein,
graton pippin,,?
granite beauty,granite beauty,
granite beauty,granite beauty,
granite,granite beauty,
granit beauty,granite beauty,
grandmother,grandmother,
grand sachem,,?
grand isle,,?
graden pippin,,?
governor,,?
gould's king,,?
gott apple,,?
gordon russet,,?
goodrich,,?
goodell,,?
goodale,goodale,
goodale,goodale,
good minister,minister,
golden transparent,yellow transparent,
golden sweet,,?
golden russett quince,,?
golden russett,,?
golden russet,,?
golden royal,garden royal,
golden royal,garden royal,
golden porter,,?
golden pippin,golden pippin,
golden pippin,,?
golden pearmain,,?
golden orb,golden ball,
golden harvest,,?
golden greening,,?
golden flower,,?
golden duchess,,?
golden delicious,yellow delicious,
golden crown,,?
golden crab,,?
golden bell,golden ball,
golden beauty,,?
golden ball,golden ball,
golden ball,golden ball,
golden,,?
gold ball,golden ball,
goding royal,garden royal,
goddard,,?
glout morceau,,?
gloria mundy,gloria mundi,
gloria mundi,gloria mundi (of maine),
gloria mundi,gloria mundi,
gloria mundi,gloria mundi,
gloria munch,gloria mundi,
glori mundi,gloria mundi,
girflin apple,,?
gillyflower,black gilliflower,
gilly flower,black gilliflower,
gilliflower,black gilliflower,
gilliflower,black gilliflower,
gillieflower,black gilliflower,
gillflower,black gilliflower,
gilley flower,black gilliflower,
gillaflower,black gilliflower,
gill flower,black gilliflower,
gilford sweet,,?
gilflower,black gilliflower,
gile flower,black gilliflower,
gilden beauty,,?
gideon,gideon,
gideon,gideon,
gibson sweet,,?
giant beauty,granite beauty,
ghanvres,,?
germantown,,?
german red,,?
german prince,,?
germaine,,?
georgia,,?
genting,fall jenneting,
genniting,fall jenneting,
gennetts,fall jenneting,
gennett,fall jenneting,
genneting,fall jenneting,
genneting,fall jenneting,
geniton,fall jenneting,
genitin,fall jenneting,
genitan,fall jenneting,
geneva pippin,,?
genetting,fall jenneting,
genettin,fall jenneting,
genettie,fall jenneting,
geneton,fall jenneting,
genetin,fall jenneting,
genetin,fall jenneting,
genetian,fall jenneting,
general grant,general grant crab,
genatin,fall jenneting,
gen. grant,general grant crab,
gen ex,,?
geenating,fall genneting,
gardner sweet,,?
gardner,,?
gardiner sweet,garden sweet,
garden sweet,garden sweet,
garden sweet,,?
garden spice,,?
garden royal,garden royal,
garden royal,,?
garden rosy,garden royal,
garden pippin,,?
garden graft,,?
garden fruit,,?
garden flat,,?
garden beauty,,?
garden apple,,?
garden,,?
garber,,?
gans,gano,
gano,gano,
gano,gano,
gang,gano,
gance,gano,
gance,gano,
gana,gano,
galveston,,?
gale's pippin,,?
g mountain,,?
fulton,fulton,
fulton,fulton,
fullman sweet,tolman sweet,
fullawater,fallawater,
frye apple,frye,
frye,frye,
french sweet,,?
french russet,kavanaugh russet,
french pomane,,?
french pippin,,?
french pearmain,,?
french pear,,?
french dwarf,,?
french crab,,?
fremont,fremont,
freemont,fremont,
fredric clapp,frederick clapp,
frederick clapp,frederick clapp,
franklin sweeting (striped),,?
franklin sweeting (red),,?
franklin sweeting,franklin sweet,
franklin sweet,franklin sweet,
franklin sweet,franklin sweet,
franklin,franklin sweet,
franeuse,fameuse,
fountain,,?
foundling,foundling,
forsett graft,,?
forest favorite,,?
forbes favorite,,?
flushing spitsbergen,,?
florence,,?
fletcher sweet,fletcher sweet,
fletcher sweet,fletcher sweet,
flemish beauty,flemish beauty,
flemish beauty,flemish beauty,
flaxon vixon,,?
flanders favorite,,?
flanders,flanders,
fitchburg,,?
fishpiller,fishkill,
fishkill,fishkill,
fishkill,fishkill,
fisher,,?
finch tree,,?
fesset,,?
feares,,?
favorite,william's favorite,
favorite,,?
faus apple,,?
farnes,,?
farmeuse,fameuse,
farmer's reward,,?
farmer's beauty,,?
farmer's apple,,?
farmer's,,?
farmease,fameuse,
famuse,fameuse,
famuese,fameuse,
famouse,fameuse,
famous blue,,?
fameuse,fameuse,
fameuse,fameuse,
falmouth sweet,,?
falmouth pippin,,?
fallwater,fallawater,
fallsweather,fallawater,
fallowater,fallawater,
fallow water,fallawater,
falley water,fallawater,
fallawater,fallawater,
fallawater,fallawater,
fallawater,fallawater,
falla water,fallawater,
fall water,fallawater,
fall talman,,?
fall sweeting,,?
fall sweet russett,pumpkin russet,
fall sweet russet,pumpkin russet,
fall sweet,,?
fall strawberry,late strawberry,
fall strawberry,,?
fall spy,fall spy,
fall russett,,?
fall river,fallawater,
fall porter,porter,
fall porter,porter,
fall pippin,fall pippin,
fall pippin,fall pippin,
fall orange,fall orange,
fall orange,fall orange,
fall jenning,fall jenneting,
fall jennetting,fall jenneting,
fall jennett,fall jenneting,
fall jenneting,fall jenneting,
fall jenneting,fall jenneting,
fall jenneting,fall jenneting,
fall jenetting,fall jenneting,
fall jenettan,fall jenneting,
fall jeaniting,fall jenneting,
fall jeanetting,fall jenneting,
fall jannetting,fall jenneting,
fall janet,fall jenneting,
fall hubbardston,,?
fall harvey greening,fall harvey,
fall harvey,fall harvey,
fall harvey,fall harvey,
fall harvest,fall harvey,
fall greening,fall harvey,
fall greening,,?
fall gravenstein,,?
fall gentian,fall jenneting,
fall gentian,fall jenneting,
fall gentian,fall jenneting,
fall genneting,fall jenneting,
fall genneting,fall jenneting,
fall genitan,fall jenneting,
fall genetting,fall jenneting,
fall geneting,fall jenneting,
fall genetin,fall jenneting,
fall favorite,,?
fall baldwin,,?
falawater,fallawater,
fairbanks sweet,,?
fairbanks,fairbanks,
excelsior crab,,?
excelsior,,?
exalder,alexander,
eve's,,?
eureka red streak,twenty ounce,
esvalt,,?
english sweet,ramsdell sweet,
english russett,english russet,
english russett,english russet,
english russet,english russet,
english russet,english russet,
english oxford,,?
english greening,,?
english graft,,?
english,,?
emperor,,?
emerson,,?
elkhorn,elkhorn,
elizabeth,elizabeth,
elizabeth,elizabeth,
eleren pippin,,?
eldorado russet,,?
eight ounce pippin,deane,
edmond's autumn,,?
edgecomb favorite,,?
eden beauty,eden beauty ,
eatsom,,?
eaton sweet,,?
eastern queen,,?
eastern belle,eastern belle,
eastern bell,eastern belle,
easter beune,,?
early winter,,?
early williams,,?
early william,,?
early twin,,?
early transparent,yellow transparent,
early transparent,yellow transparent,
early sweet bough,sweet bough ,
early sweet,,?
early sweet,,?
early summer,,?
early strawberry,early strawberry,
early strawberry,early strawberry,
early sour,,?
early scarlet,early scarlet,
early russian,,?
early russet,,?
early roxbury daggett,,?
early printon,,?
early mcintosh,,?
early joe,early joe,
early jennetting,,?
early jenneting,,?
early harvey,early harvest,
early harvest,early harvest,
early harvest,early harvest,
early favorite,,?
early bough,sweet bough,
early blossom,,?
early bloomfield,,?
early bellflower,,?
early bell,,?
early autumn,,?
early augusta,,?
early august,,?
eagle,,?
"e, russett",,?
dyer,dyer,
dwarf baldwin,,?
dwarf,,?
dutchess of oldenburg,duchess of oldenburg,
dutchess dwarf,,?
dutchess de angulene,duchesse d'angouleme,
dutchess,duchess of oldenburg,
dutchess,,?
dutch coudle,,?
dutch codlin,,?
dunning,,?
dunmore,,?
duke of argola,,?
dudley's winter,dudley winter,
dudley's winter,dudley winter,
dudley winter,dudley winter,
dudley winter,dudley winter,
dudley,dudley winter,
duchesse de ogdensburg,duchess of oldenburg,
duchesse de bordeaux,,?
duchesse de angonleme,duchesse d'angouleme,
duchesse d'angouleme,duchesse d'angouleme,
duchesse,,?
duchess pearmain,,?
duchess oldensburg,duchess of oldenburg,
duchess oldenburg,duchess of oldenburg,
duchess oldenberg,duchess of oldenburg,
duchess of oldenburgh,duchess of oldenburg,
duchess of oldenburg,duchess of oldenburg,
duchess of oldenburg,duchess of oldenburg,
duchess of oldenburg,duchess of oldenburg,
duchess of oldenburg,duchess of oldenburg,
duchess of oldenbirg,duchess of oldenburg,
duchess of oldenberg,duchess of oldenburg,
duchess of oldenberg,duchess of oldenburg,
duchess of oldenberg,duchess of oldenburg,
duchess of odenburg,duchess of oldenburg,
duchess of columbia,,?
duchess of bordeaux,,?
duchess of berdsay,,?
duchess dongleme,duchesse d'angouleme,
duchess de bordeaux,,?
duchess de beaux,,?
duchess de argouline,duchesse d'angouleme,
duchess de angouline,duchesse d'angouleme,
duchess de angouleme,duchesse d'angouleme,
duchess d'augouleme,duchesse d'angouleme,
duchess d'angoulleme,duchesse d'angouleme,
duchess d'angouleme,duchesse d'angouleme,
duchess d'anglorinne,duchesse d'angouleme,
duchess d' angouleme,duchesse d'angouleme,
duchess angouleme,duchesse d'angouleme,
duchess,duchesse d'angouleme,
duchess,duchess of oldenburg,
duchess,duchess of oldenburg,
duchess,,?
drap d'or,drap d'or,
doynne bosworth,,?
doyenne d'ete,,?
doyenne boussock,,?
doyenne bosc,,?
doyenne,,?
doyen white,,?
dover favorites,,?
double gill flower,,?
dorset,,?
donne bussock,,?
domino,,?
dominie,,?
dollar apple,,?
dodd,,?
doctor brooks,,?
dian,,?
detroit,,?
derby pippin,derby pippin,
delicious,red delicious,
delicious,red delicious,
delicious,red delicious,
deleware red winter,lawver,
delaware,lawver,
deceiver,,?
deane,deane,
dean,deane,
dean,deane,
de tanga,,?
de anjou,beurre d'anjou,
de anjou,,?
de angean,,?
davis,,?
danyon,,?
danvers winter sweet,danvers winter sweet,
danvers sweet,danvers winter sweet,
danvers sweet,danvers winter sweet,
danvers,danvers winter sweet,
danver's winter sweet,danvers winter sweet,
dano,gano,
dana's hovey,dana hovey,
dampe,,?
daldenburg,duchess of oldenburg,
dakota red,,?
daily sweet,,?
d'anjou,,?
cuthburt,hurlbut ,
cuthbert,hurlbut ,
cuthbert,hurlbut ,
cummings sweet,cummings sweet,
cummings greening,,?
cummings,,?
culvert,colvert,
culvert,colvert,
cubfola,,?
crystal beauty,crystal beauty,
crown apple,,?
crow sweet,,?
cross orange,,?
crimson beauty,crimson beauty,
creased apple,,?
cream yellow,,?
crane pippin,ortley,
cranberry pippin,cranberry pippin,
cranberry pippin,cranberry pippin,
cranberry crab,,?
cranberry,cranberry pippin,
craig's pearmain,,?
cowel,,?
corvenere de aneress,,?
cortland,cortland,
cortland,cortland,
cornish greening,,?
corner apple,,?
corn sweet,,?
corn field apples,,?
coopers market,cooper's market,
cooper's market,cooper's market,
cooper's market,cooper's market,
cooper's market,cooper's market,
cooper market,cooper's market,
cook's sweet,,?
cook,cook,
cony sweet,,?
connecticut winter sweet,,?
connecticut king,,?
connecticut greening,,?
congress,souvenir de congress,
congress,congress,
concord,,?
common sweet,,?
common russets,,?
common russet,,?
common cathead,,?
colvert,colvert,
colvert,colvert,
columbus,columbus,
color quince,cole's quince,
colooct,,?
collins,collins,
cole's quince,cole's quince,
cole quince,cole's quince,
colcord sweet,colcord sweet,
codling,,?
coburn sweet,,?
cobert,colvert,
clyde beauty,clyde,
cluster crab,,?
clie's beauty,clyde,
clerga,,?
cleaga,,?
clarke,,?
clark's favorite,,?
clark sweet,,?
clark,clark,
clapps favorite,clapp favorite,
clapps favorite,clapp favorite,
clapps,clapp favorite,
clapp's favorite,clapp favorite,
clapp's favorite,clapp favorite,
clapp favorite,clapp favorite,
clap's favorite,clapp favorite,
clajeris favorite,clapp favorite,
clairgeau,,?
cinch greening,,?
chute,,?
christmas sweet,,?
china,,?
children's choice,,?
chick's red,,?
chestnut,,?
cherry crab,,?
chenango strawberry,chenango strawberry,
chenango strawberry,chenango strawberry,
chenango strakeberry,chenango strawberry,
chelmsford,,?
chase's jelly crab,,?
chase jelly crab,,?
chase apple,,?
champion,,?
chamberlain,,?
centini,,?
cayuga red stripe,twenty ounce,
cayuga red streak,twenty ounce,
cayuca red,twenty ounce,
cavanaugh,kavanaugh russet,
catskill,,?
cathead sweeting,,?
cathead sweet,,?
cathead russet,kavanaugh russet,
cathead russet,kavanaugh russet,
cathead,,?
cat-head,,?
cat head russett,kavanaugh russet,
cat head,,?
carroll sweet,,?
carleton,,?
capuamount,,?
cape cod,,?
canes,gano,
cane pippin,ortley,
candy red,,?
cananda red,red canada,
canadian red,red canada,
canadian greening,new brunswick greening,
canadian baldwin,canada baldwin,
canada stripe,,?
canada russet,canada reinette,
canada rennet,canada reinette,
canada reinsten,canada reinette,
canada reinett,canada reinette,
canada red,red canada,
canada red,red canada,
canada porter,,?
canada pippin,,?
canada pearmain,,?
canada peach,montreal peach,
canada nonesuch,red canada,
canada greening,new brunswick greening,
canada baldwin,canada baldwin,
canada baldwin,canada baldwin,
canada,,?
camper's market,cooper's market,
calvert,colvert,
calvert,colvert,
caliph,calef,
california sweet,,?
california pippin,,?
california belleflower,,?
california,,?
caleph sweet,calef,
calef,calef,
cab. head russet,kavanaugh russet,
c. red streak,twenty ounce,
c h russet,kavanaugh russet,
buru d. anjou,beurre d'anjou,
burred' anjou,beurre d'anjou,
burre hardy,buerre hardy,
burre d'argou,beurre d'anjou,
burbank beauty,,?
burbank,,?
bumpus,,?
bullard sweet,,?
buffum,buffum,
buffum,buffum,
buffam,buffum,
buffalo sweeting,,?
buerrer base,beurre bosc,
buerre hardy,beurre hardy,
buerre de anjou,beurre d'anjou,
buerre d'aremburg,beurre d'aremberg,
buerre d'anjou,beurre d'anjou,
buerre d'amanlis,beurre d'amanlis,
buerre clairgeau,beurre clairgeau,
buerre charrgean,beurre clairgeau,
buerre arigon,beurre d'anjou,
buell,,?
buck sweet,,?
buck,,?
brunswick pippin,,?
brown's best,,?
brown sweet,,?
brooks favorite,brooks favorite,
broadwell,,?
brinkles orange,,?
briggs auburn,briggs auburn,
briggs auburn,briggs auburn,
bretymany,bietigheimer,
bretigheimer,bietigheimer,
bretegemer,bietigheimer,
brandywine,brandywine,
bran jean,,?
brackett,,?
boyd baldwin,,?
box russet,roxbury russet,
boussock,doyenne boussock,
bouey de jersey,,?
bottle greening,bottle greening,
bottle greening,bottle greening,
bottle green,bottle greening,
bottle,bottle greening,
boston sweet,,?
boston red,,?
boston apple,,?
bosc,beurre bosc,
booad,,?
bonney de jersey,louise bonne de jersey,
bonne de jersey,louise bonne de jersey,
bonne d'jersey,louise bonne de jersey,
bonchreteen fondante,,?
boise,,?
boiken,boiken,
boardman,boardman,
blushing beauty,,?
blush,,?
bluepearmain,blue pearmain,
blue pomane,blue pearmain,
blue pearmaine,blue pearmain,
blue pearmaine,blue pearmain,
blue pearmain,blue pearmain,
blue pearmain,blue pearmain,
blue pearmain,blue pearmain,
blue pearmaide,blue pearmain,
blue pear maine,blue pearmain,
blue pear main,blue pearmain,
blue pear,blue pearmain,
blue paumaid,blue pearmain,
blue pairmain,blue pearmain,
blue pairmain,blue pearmain,
blue oxford,black oxford,
blue oxford,black oxford,
blue norman,,?
blue mountain,,?
blue crab,,?
blue bell,,?
bloomfield's long stem sweet,,?
bloomfield porter,bloomfield,
bloomfield,bloomfield,
bloom,bloom,
bloodstone pippin,ribston pippin,
blood sweet,,?
blood pippin,,?
blk oxford,black oxford,
blenden pippin,blenheim orange,
blemans orange,blenheim orange,
blake sweet,,?
blake,,?
black winter,,?
black twig,,?
black sweet,blake sweet,
black russett,,?
black russet,,?
black oxofrd,black oxford,
black oxford,black oxford,
black oxford,black oxford,
black knox,black oxford,
black gilly flower,black gilliflower,
black gilliflower,black gilliflower,
black gilflower,black gilliflower,
black fall,,?
black ben davis,black ben davis,
black ben davis,black ben davis,
black ben,black ben davis,
black ben,black ben davis,
black baldwin,black baldwin,
black baldwin,black baldwin,
black apple,black oxford,
black apple,black oxford,
black,black oxford,
black,black oxford,
bl. b. davis,black ben davis,
bitter sweet,,?
bitinhammer,bietigheimer,
bismark,bismark,
bismark,bismark,
big ben,,?
bicknell,,?
beverage,beverage,
beurre superfine,,?
beurre soldat,,?
beurre rose,,?
beurre hardy,beurre hardy,
beurre dill,beurre diel,
beurre diel,beurre diel,
beurre diel,beurre diel,
beurre de aryon,beurre d'anjou,
beurre de anjou,beurre d'anjou,
beurre d'augin,beurre d'anjou,
beurre d'anjou,beurre d'anjou,
