Given_ID,Presumed_ID
gardiner sweet,garden sweet
green russet,
holly,hawley
middling,
new york fall pippin,
rock sweet,rock sweet
smith cider,smith cider
sutton's beauty,sutton
tomato,
vandivere,smokehouse
winter russet,
carroll sweet,
frye,
golden,
ironstone,
martha's crab,
n. y. russet,
stone,
summer sweet,hightop sweet bough
white elephant,
b. c. oxford,black oxford
belle de boskoop,belle de boskoop
cane pippin,ortley
duchess of oldenburg,duchess of oldenberg
fall sweet russett,pumpkin russet
gennetts,fall jenneting
grey pippin,
lady sweet,lady sweet
new york baldwin,
peach bloom,
rauls gennett,
red sweet,
ribstone pippin,ribston pippin
twig russett,
van wick sweet crab,
winter sweet russett,
bl. b. davis,black ben davis
giant beauty,granite beauty
great eastern,gravenstein
limba twig,
moody sweet,
peure gusi,pomme gris
phoenix,
three sweet,
wels apple,
white baldwin,
fall jenneting,
rattle box,
seek no further,
snow,
maiden-blush,
milding,
pound apple,
rome beauty,
wagner,
winter jennette,
yellow bellflower,
duke of argola,
early strawberry,
fameuse,
gilden beauty,
holly,
lady crab,
manson sweet,
mcintosh red,
pound pippin,
ripston pippin,
russian crab,
scotch winter,
slactory victory,
sweet crab,
york imperial,
arctic,
baxter,
cab. head russet,
flaxon vixon,
haar,
hulbert,
lutton beauty,sutton beauty
none-such,
pewaukie,
russett,
salome,
scott's winter,
wine sap,
twenty ounce,
union,
(pear) bartlett,
american blush,
arkansas black,
blue pearmain,
norman sweet,
prince rupert,
red astrachan,
winter banana,
chenango strawberry,
hubbard,
improved greening,
king of tompkins county,
mann,
peck's pleasant,
pewaukee,
porter,
rhode island greening,
roxbury russet,
spitzenburg,
sunrise,
sweet bough,
tolman's sweet,
dudley winter,
granite,
yellow transparent,
cream yellow,
duchess of oldenbirg,
grimes golden,
hubbard nonesuch,
maiden blush,
nodhead,
orange pippin,
panelopy,
tillman sweet,
willow twig,
yellow,
common sweet,
fallawater,
gilliflower,
orchard sweet,
primate,
banana,
striped sweet,
belflower,yellow bellflower
collins,collins
milding,milding
(pear) bell,
(pear) fulton,
(pear) sickle,(pear) seckle
black russet,
blue pearmain,blue pearman
double gill flower,
golden ball,golden ball
lincoln pippin,
mamoth cathead,
yellow sweet,
(pear) beauty,
(pear) duchess d'angouleme,
bloomfield,
(pear) buell,
(pear) duchess de bordeaux,
(pear) vicar of wakefield,(pear) vicar of winkfield
gloria mundi,gloria mundi
red canada,
ribston pippin,
liscomb,
nonpareil,
scarlet pearmain,
gould's king,
stump,
(pear) beurre d' anjou,
maidens blush,
rolfe,
yellow flat,
pound sweet,
sponge russet,
jewett's fine red,
(pear) sheldon,(pear) sheldon
sweet baldwin,
winthrop greening,
(pear) belle lucrative,
(pear) beurre bos,(pear) beurre bosc
(pear) beurre diel,
beauty of kent,beauty of kent
benton red,benton red
killam hill,
kings pockit,
washington co. strawberry,
(pear) bosc,
seek no farther,
blenden pippin,blenheim pippin
cubfola,
cuthbert,hurlbut
duchess of oldenburg,duchess
dunning,
early bloomfield,
fall baldwin,
fall orange,
garden flat,
haskell sweet,
jersey sweet,
jillyflower,
lady apple,
minister,
mother apple,
mun's sweet,
munson,
new york russet,
new york sweet,
nine ounce,
nonsuch,
peah apple,peach
peck's pleasure,
putnam russet,
ransom sweet,
sops of wine,
spitzenberg,
spitzenberg pearmain,
starke,
sweet greening,
sweet wagner,
taylor,
tetofsky,
william farmer,
winter baldwin,
gilly flower,black gilliflower
banana,winter banana
bailey sweet,
sutton beauty,
staymer winesop,
delicious,delicious
opalescent,
king david,
winesap,
(pear) kieffer,
cortland,cortland
jonathan,
red gravenstein,
starking,
yellow delicious,
twenty-ounce,
king tompkins,
palmer,
pratt's special,
roxbury russett,
russian red,
talman sweet,
corn sweet,
home sweet,
n. g. russet,
twentieth century,
(pear) clapp's favorite,
bismark,
jersey,
spitzbergen,
seek,
garden royal,
autumn strawberry,
calvert,
cathead russet,
golden ball,
hurlburt,
russian,
tallman sweet,
deane,
jelly flower,
mother,
n. y. russett,
nonesuch,
benton red,
concord,
coopers market,
duchess,
early harvest,
high top sweet,
mexican,
munson early,
munson sweet,
tetopskey,
jacob sweet,
kilmhill,
monarch,
bethal,
cat head russett,
dakota red,
fallow water,
nod head,
orange sweet,
pecks pleasant,
tompkins king,
beauty of kind,beauty of kent
bellflower,yellow bellflower
galveston,
greening,rhode island greening
king,king of tompkins county
limbertwig greening,fall harvey
quebec sweet,quebec sweet
tolman sweet,tolman sweet
duchess,duchess of oldenberg
dudley,dudley winter
fall water,fallawater
garden sweet,garden sweet
snow,fameuse
winesap,winesap
winter banana,winter banana
alexandria,
mcintosh,
red everlasting,
belle's favorite,sops of wine
blue pairmain,blue pearmain
canadian greening,new brunswick greening
fall favorite,
hubbardstone,hubbardston
king tompkins,king of tompkins county
peawaukee,pewaukee
president,president
providence baldwin,
red providence maine,
naked limb greening,fall harvey
r i greening,rhode island greening
prospect greening,fall harvey
canada rennet,canada reinette
lemon sweet,
red pearmain,
canada russet,
king pippin,
bellflower,
hartford sweet,
lost tally,
wallbridge,
canada red,
cat head,
finch tree,
maith stripe,lyscom
martha crab,
pewakee,
yellow transparent crab,
red bitzheimer,
(pear) sickle,
hubbardstone,
new york,
northern,
nodhead,jewett fine red
buffalo sweeting,
fall gravenstein,
genitin,
harvest,
peach blow,
pie apple gravenstein,
queen's pocket,
red stone pippin,
sweet bower,
winter gravenstein,
bell flown,yellow bellflower
canada reinett,canada reinette
dutchess of oldenburg,duchess
ladies blush,
michigan greening,
roxbury russett,roxbury russet
winter sweeting,
winterport greening,
canada red,canada red
naked limb greening,
tallman sweet,tolman sweet
yellow belleflower,yellow bellflower
bells early,sops of wine
jenetin,
hyslops crab,hyslop crab
king of thompkins co.,king of tompkins county
montreal beauty crab,montreal beauty crab
page,page
pound apple,gloria mundi
striped jenetin,
transcendent crab,transcendent crab
canada reinsten,canada reinette
eagle,
hoyt's sweet,
hubbardson's nonsuch,hubbardston
mammouth pippen,
mohawk,
english russet,english russet
winter porter,
beauty of kent,
new york greening,
province baldwin,
bloodstone pippin,
duchess of oldenburgh,
hubertson monarch,
king tompkins county,
n. e. greening,
transparent crab,
c h russet,kavanagh russet
cross orange,
martha stripe,
romeo,
bell's early,
blue norman,
limber twig,
rombo,
summer russet,
walbridge,
wine,
orange greening,
cat-head,
henderson sweet,
northwestern greening,
pink cheek,
seek-no-further,
water core apple,
ghanvres,
noroton greening,
pear russet,
peters apple,
the stripes,
york greening,
early transparent,
princess,
striped,
sweet cress,
(pear) clapp favorite,
(pear) eastern belle,
(pear) keiffer,
ball sweet,
benoni,
blood pippin,
blood sweet,
early sweet,
fall genitan,
fall strawberry,
garden sweet,
haas,
hightop sweet,
honey sweet,
hubbardstein,
jelly crab,
king of tompkins,
molasses sweet,
president,
quince sweet,
siberian crab,
snow ball,
star,
storm sweet,
transcendent crab,
white winter pear main,
williams favorite,
winter calvert,
winter jennetting,
aunt hannah,
bells early,
bells sweet,
cherry crab,
colvert,
fall talman,
jennetting,
ladies sweet,
mother sweet,
petofsky,
sour russett,
yellow sweet bough,
(pear) hubbard,
bretigheimer,
dutch codlin,
perry's russet,
summer greening,
vermont greening,
white,
domino,
early twin,
gurrington,
justin,
spicy quince,
sweet van wyck crab,
chase jelly crab,
cook,cook
early jennetting,
jersey sweeting,
maan,
n. h. sweet,
none such,
oak,
pound royal,
rambo,
red siberian crab,
stone sweeting,
stulp,
white sweet,
worthley,
yellow transcendent crab,
green sweet,
round sweet,pound sweet
yellow porter,
g mountain,
beauty,
delicious,
duchess of columbia,
fallsweather,fallawater
gana,gano
minnesota,
quebec sweet,
senator,
hungarian crab,
staymen's winesap,
(pear) lincoln,
black twig,
fall genetin,
hurlebut,
limbertwig,
eight ounce pippin,
maine harvey,
peewaukee,
winter strawberry,
(pear) telephone,
blushing beauty,
elkhorn,
english greening,
german prince,
hyslop,
meallhy,wealthy
nathan spy,northern spy
pawaka,pewaukee
sweet russet winter,
manning,
leafless,
red jewet,nodhead
white beauty,
snowfield,
franklin sweet,
lumberting,
red winter sweet,
sweet,
(pear) duchesse de angonleme,
arkansas beauty,
blush,
early bell,
native snow,
peter,
red june,
cape cod,
transparent,
world's wonder,
rainbow,rambo
bretegemer,
quebec winter sweet,
cranberry crab,
green cooking,
mawn,
stock,
william's early,
(pear) marguerite,
early william,
mutton apple,
early summer,
luister twig,
astrachan,
crimson beauty,
quinine sweet,
summer apple,
winslow proof,
(pear) clerga,
barkis,
belmont beauty,
bretymany,
limberting,
north star,
rising sun,
black baldwin,
peerless,
pretainger,
"r. i, sweet",
royal red,
paragon,
limberstring,
quince,
ruby red,
(pear) cleaga,
eden beauty,
hyslop crab,
lawler,
siberian russet,
somerset,
white apple,
green mountain,
jacobs sweet,
limber twig greening,
black ben davis,
hendrick's sweet,
mann's,
winsap,
lincoln,
vermont,
green,
ox-heart,
prospect greening,
stars,stark
n. y. baldwin,
ribbston,
beefsteak,
bell flower,
winter favorite,
high top sweeting,
hubbardston nonesuch,
genitan,
mammoth russet,
wine apple,
codling,
early bellflower,
golden crown,
maiden's blush,
winter astrachan,
niggerhead,
old-fashioned cathead,
red stripe,
summer porter,
fall gentian,
mackintosh red,
maine baldwin,
winter bellflower,
duchess of oldenburg,duchess of oldenburg
king of tompkins county,king of tompkins county
new york russet,golden russet of western new york
queen,
red pippin,
water core sweet,
black knox,
fall jennetting,
ladies' sweet,lady sweet
r. i. russet,
smoke house,smokehouse
canada baldwin,canada baldwin
calvert,colvert
garden fruit,
garden spice,
red crab,
sutton's beauty,sutton beauty
striped martyrs,lyscom
winter crab,
maidens blush,maiden's blush
red beitigheimer,
chick's red,
winter queen,
pie apple,
striped everlasting,
sweet golden russet,
walker's beauty,
summer rambo,
red william,
r s pippin,
senator,oliver/senator
bailey's sweet,bailey's sweet
vermont baldwin,
mildew,milding
queening,
improved ben davis,
jewetts,
pennock,
r. i. greening,
red russet,
stayman's wine sap,
starkey,
baltimore pippin,
blue pomane,
canada pippin,
flanders,
french pomane,
halbert,
jersey greening,
maine pippin,
tuscarora,
ribstone pippin,
belleflower,
fall harvest,
whitefield,
(pear) beurre d'anjou,
(pear) beurre superfine,
(pear) buffum,
(pear) duchess d'augouleme,
(pear) louise bonne de jersey,
(pear) vicar of winkfield,
(pear) winter nelis,
briggs auburn,
cole's quince,
danver's winter sweet,
hunt russet,
king of tompkins co.,
king sweeting,
large yellow bough,
northern sweet,
(pear) benne clairglaw,
(pear) glout morceau,
(pear) marie louise,
(pear) swan's orange,
moses wood,
(pear) nickerson,
van dyke crab,
(pear) boussock,
(pear) doyenne,
(pear) goodale,
(pear) winter bells,
peach,
cooper's market,
swaar,
(pear) de tanga,
(pear) eastern queen,
(pear) souvenir de congress,
(pear) indian queen,
granite beauty,
dudley's winter,
(pear) idaho,
(pear) koonce,
wolfe river,
monmouth black twig,
johnson russet,
late pippin,
(pear) boise,
(pear) vura,(pear) vicar of winkfield
canada nonesuch,red canada
canada pearmain,
french pearmain,
garden,
joseph's choice,
killen hill,
knox greening,
peckard baldwin,
ribston,
royal sweet,
somerset beauty,
walbridge,walbridge
williams favorite,williams favorite
willow,
culvert,colvert
duchess,duchess of oldenburg
fishkill,fish
goddard,
graden pippin,
herlbert,
peck's,
vermont sweet,
dyer,
garden pippin,
harvey,
lady elgin crab,
mass. greening,
wagener,wagener
munster,
russet sweet,
hysop crab,
rubicon,
striped pearmain,
canada baldwin,
(pear) clap's favorite,
astrachan,red astrachan
aroostook sweeting,
crystal beauty,
lovejoy sweet,
(pear) stubbs seedling,
hubbardson,
dutchess,
simpson,
(pear) beurre de aryon,
(pear) louis bonne de jersey,
(pear) maria louise,
(pear) onondaga,
(pear) sugar,
bethel,
genettin,
merrill,
norman,
noyes,
peachblow,
english russet,
rough and ready,
(pear) st. michael,
hub. nonsuch,
late sweet,
strawberry red,
american russet,
black gilflower,
girflin apple,
hubbardston nonsuch,
peach apple,
russett pairmain,
seekonk,
summer queen,
summer sweet paradise,
talman sweeting,
worcester apple,
hurlbut,
beauty sweet,
english russett,
french pippin,
hightop,
scott winter,
beauce,
fall jenetting,
summer surprise,
cony sweet,
spur sweet,
patty sweet,
rambough,
selkirk,
maine beauty,
general grant,
n. y. seedling,
pairmain,
red check greening,
barter,baxter
stanchfield's best,
whig,
dover favorites,
farmer's reward,
(pear) bartlett,(pear) bartlett
(pear) beurre d'anjou,(pear) beurre d'anjou
(pear) elizabeth,(pear) elizabeth
(pear) napoleon,(pear) napoleon
(pear) seckel,(pear) seckel
(pear) standard,
aunt hannah,aunt hannah
derby pippin,derby pippin
hubbardston nonsuch,hubbardston nonesuch
jonathan sweet,
new york bower,
pelham sweet,
seek-no-further,westfield
stump (of greene),stump (of greene)
yarmouth cathead,
(pear) clapps favorite,(pear) clapp's favorite
(pear) duchess d'angoulleme,(pear) duchess d'angouleme
(pear) flemish beauty,(pear) flemish beauty
(pear) louise bonne de jersey,(pear) louise bonne de jersey
briggs auburn,briggs auburn
garden apple,
gloria mundi,gloria mundi (of maine)
hurbert,hurlbut
nonesuch,hubbardston nonesuch
noyes,noyes
pennsylvania red,
thompson sweet,
(pear) belle lucrative,(pear) belle lucrative
(pear) buffum,(pear) buffum
(pear) goodale,(pear) goodale
(pear) howell,(pear) howell
(pear) lawrence,(pear) lawrence
(pear) winter mills,(pear) winter nelis
(pear) nickerson,(pear) nickerson
fall jenneting,fall jenneting
harvey greening,
mcintosh red,mcintosh red
tetofsky,tetofsky
win's favorite,william's favorite
yellow transport,yellow transparent
blue crab,
candy red,
milden,milding
nine ounce,deane
scotch winter,scott's winter
sterling sweet,
sultan beauty,
hubbard nonesuch,hubbardston nonesuch
tollman sweet,tolman sweet
bellfleur,yellow bellflower
black apple,black oxford
bottle greening,bottle greening
geniton,fall jennetting
red-streak,
syracuse beauty,
twenty-ounce,twenty ounce
ladie's sweet,lady sweet
red beatdoin,
rolf,rolfe
sponce russet,sponge russet
dutchess,duchess of oldenberg
red canada,canada red
russet golden,
blue pearmaide,
fall jeaniting,
california sweet,
hub. non.,hubbardston nonesuch
roxbury russet,twenty ounce
spy,
tompkins,
(pear) d'anjou,
geneton,
redstone pippin,
fall jenneting,fall jennetting
gloria mundi,
maiden blush,maiden's blush
hardy greening,
oxford beauty,
sweet gloria mundi,
fallawater,fallwater
grime's golden,grimes golden
killham hill,kilham hill
nodhead,nodhead
queen delight,
higgins greening,
ball pippin,
carleton,
fall river,
goding royal,garden royal
gold ball,golden ball
peach sweet,
revarkin,
russian favorite,
golden pippin,golden pippin
seventy ounce,
mays apple,
miland,milding
raspberry russet,
red astrakan,
hurlbert,
american beauty,
(pear) congress,(pear) souvenir de congress
no. spy,northern spy
washington red,
washington sweet,
williams,williams favorite
york russet,pumpkin russet
(pear) sekel,
twenty ounce pippins,
hub. nonesuch,hubbardston nonesuch
quince,cole's quince
duchess pearmain,
lester sweet,
new york stripe,
(pear) burre d'argou,
hersey greening,
american summer pearmain,
blk oxford,
hartford,
mason,
king of tompkins,king of tompkins county
fall gentian,fall jennetting
january russet,
morse early,
blue bell,
common cathead,
new york cathead,
salem russett,
striped slack,
hibbs,
kentuck red,
nason,
white graft,
yellow nonesuch,
spring russett,
york russett,
(pear) b. de anjou,
(pear) duchess d' angouleme,
(pear) noyes,
danvers sweet,danvers winter sweet
fall harvey,fall harvey
farnes,
graton pippin,
high top sweet,hightop sweet
holman's russet,holman's russet
