County,Fair,Year,Event,Location,Source,Page,Notes,Missing Location
hancock,blue hill,1897.0,blue hill fair,blue hill,ellsworth american,6,premiums,False
hancock,blue hill,1898.0,blue hill fair,blue hill,ellsworth american,7,premiums,False
hancock,blue hill,1899.0,blue hill fair,blue hill,ellsworth american,5,premiums,False
hancock,blue hill,1900.0,blue hill fair,blue hill,ellsworth american,7,premiums,False
hancock,blue hill,1901.0,blue hill fair,blue hill,ellsworth american,3,premiums,False
hancock,blue hill,1902.0,blue hill fair,blue hill,ellsworth american,3,premiums,False
hancock,blue hill,1903.0,blue hill fair,blue hill,ellsworth american,7,premiums,False
hancock,blue hill,1905.0,blue hill fair,blue hill,ellsworth american,7,premiums,False
hancock,blue hill,1906.0,blue hill fair,blue hill,ellsworth american,3,premiums,False
hancock,blue hill,1907.0,blue hill fair,blue hill,ellsworth american,3,premiums,False
hancock,blue hill,1907.0,halcyon grange fair,north blue hill,ellsworth american,5,premiums,False
hancock,blue hill,1908.0,blue hill fair,blue hill,ellsworth american,3,premiums,False
hancock,blue hill,1909.0,blue hill fair,blue hill,ellsworth american,3,premiums,False
hancock,blue hill,1910.0,blue hill fair,blue hill,ellsworth american,7,premiums,False
hancock,blue hill,1911.0,blue hill fair,blue hill,ellsworth american,3,premiums,False
hancock,blue hill,1912.0,blue hill fair,blue hill,ellsworth american,3,premiums,False
hancock,blue hill,1913.0,blue hill fair,blue hill,ellsworth american,3,premiums,False
hancock,blue hill,1914.0,blue hill fair,blue hill,ellsworth american,3,premiums,False
hancock,ellsworth,1904.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,3,premiums,False
hancock,ellsworth,1905.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,3,premiums,False
hancock,ellsworth,1906.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,3,premiums,False
hancock,ellsworth,1907.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,3,premiums,False
hancock,ellsworth,1909.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,5,premiums,False
hancock,ellsworth,1910.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,5,premiums,False
hancock,ellsworth,1910.0,harvest home grange fair,west ellsworth,ellsworth american,1,premiums,False
