County,Fair,Year,Event,Location,Source,Page,Notes,Missing Location,Town Latitude,Town Longitude,County Longitude,County Latitude,Coalesce Latitude,Coalesce Longitude
hancock,penobscot,1876.0,penobscot town fair,penobscot,ellsworth american,3,premiums,False,44.47033026,-68.70844465,-68.402,44.614,44.47033026,-68.70844465
hancock,penobscot,1877.0,penobscot town fair,penobscot,ellsworth american,3,premiums,False,44.47033026,-68.70844465,-68.402,44.614,44.47033026,-68.70844465
hancock,penobscot,1878.0,penobscot town fair,penobscot,ellsworth american,4,premiums,False,44.47033026,-68.70844465,-68.402,44.614,44.47033026,-68.70844465
hancock,penobscot,1879.0,penobscot town fair,penobscot,ellsworth american,3,premiums,False,44.47033026,-68.70844465,-68.402,44.614,44.47033026,-68.70844465
hancock,penobscot,1881.0,penobscot town fair,penobscot,ellsworth american,2,premiums,False,44.47033026,-68.70844465,-68.402,44.614,44.47033026,-68.70844465
hancock,penobscot,1882.0,penobscot town fair,penobscot,ellsworth american,2,premiums,False,44.47033026,-68.70844465,-68.402,44.614,44.47033026,-68.70844465
hancock,penobscot,1883.0,penobscot town fair,penobscot,ellsworth american,2,premiums,False,44.47033026,-68.70844465,-68.402,44.614,44.47033026,-68.70844465
hancock,penobscot,1884.0,penobscot town fair,penobscot,ellsworth american,3,premiums,False,44.47033026,-68.70844465,-68.402,44.614,44.47033026,-68.70844465
hancock,penobscot,1904.0,highland grange fair,north penobscot,ellsworth american,3,premiums,False,45.7317,-68.589,-68.402,44.614,45.7317,-68.589
hancock,penobscot,1908.0,highland grange fair,north penobscot,ellsworth american,2,premiums,False,45.7317,-68.589,-68.402,44.614,45.7317,-68.589
hancock,penobscot,1910.0,highland grange fair,north penobscot,ellsworth american,3,premiums,False,45.7317,-68.589,-68.402,44.614,45.7317,-68.589
hancock,penobscot,1911.0,highland grange fair,north penobscot,ellsworth american,8,premiums,False,45.7317,-68.589,-68.402,44.614,45.7317,-68.589
hancock,penobscot,1912.0,highland grange fair,north penobscot,ellsworth american,3,premiums,False,45.7317,-68.589,-68.402,44.614,45.7317,-68.589
hancock,penobscot,1913.0,highland grange fair,north penobscot,ellsworth american,8,premiums,False,45.7317,-68.589,-68.402,44.614,45.7317,-68.589
hancock,penobscot,1914.0,highland grange fair,north penobscot,ellsworth american,3,premiums,False,45.7317,-68.589,-68.402,44.614,45.7317,-68.589
hancock,penobscot,1915.0,highland grange fair,north penobscot,ellsworth american,3,premiums,False,45.7317,-68.589,-68.402,44.614,45.7317,-68.589
hancock,penobscot,1916.0,highland grange fair,north penobscot,ellsworth american,2,premiums,False,45.7317,-68.589,-68.402,44.614,45.7317,-68.589
hancock,hancock co. farm bureau,1922.0,hancock co. farm bureau meeting,ellsworth,ellsworth american,7,premiums,False,44.5432046,-68.42494098,-68.402,44.614,44.5432046,-68.42494098
hancock,hancock co. farm bureau,1923.0,hancock co. farm bureau meeting,ellsworth,bar harbor times,4,premiums,False,44.5432046,-68.42494098,-68.402,44.614,44.5432046,-68.42494098
hancock,hancock co. farm bureau,1923.0,hancock co. farm bureau meeting,ellsworth,ellsworth american,3,premiums,False,44.5432046,-68.42494098,-68.402,44.614,44.5432046,-68.42494098
hancock,hancock co. farm bureau,1924.0,hancock co. farm bureau meeting,ellsworth,bar harbor times,4,premiums,False,44.5432046,-68.42494098,-68.402,44.614,44.5432046,-68.42494098
hancock,hancock co. farm bureau,1924.0,hancock co. farm bureau meeting,ellsworth,ellsworth american,7,premiums,False,44.5432046,-68.42494098,-68.402,44.614,44.5432046,-68.42494098
hancock,hancock co. farm bureau,1925.0,hancock co. farm bureau meeting,ellsworth,ellsworth american,3,premiums,False,44.5432046,-68.42494098,-68.402,44.614,44.5432046,-68.42494098
hancock,hancock co. farm bureau,1926.0,hancock co. farm bureau meeting,ellsworth,ellsworth american,2,premiums,False,44.5432046,-68.42494098,-68.402,44.614,44.5432046,-68.42494098
hancock,blue hill,1883.0,blue hill fair,blue hill,ellsworth american,2,description,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,blue hill,1893.0,blue hill fair,blue hill,ellsworth american,4,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,blue hill,1894.0,blue hill fair,blue hill,ellsworth american,6,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,blue hill,1895.0,blue hill fair,blue hill,ellsworth american,5,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,blue hill,1896.0,blue hill fair,blue hill,ellsworth american,3,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,blue hill,1897.0,blue hill fair,blue hill,ellsworth american,6,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,blue hill,1898.0,blue hill fair,blue hill,ellsworth american,7,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,blue hill,1899.0,blue hill fair,blue hill,ellsworth american,5,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,blue hill,1900.0,blue hill fair,blue hill,ellsworth american,7,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,blue hill,1901.0,blue hill fair,blue hill,ellsworth american,3,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,blue hill,1902.0,blue hill fair,blue hill,ellsworth american,3,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,blue hill,1903.0,blue hill fair,blue hill,ellsworth american,7,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,blue hill,1905.0,blue hill fair,blue hill,ellsworth american,7,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
