County,Fair,Year,Event,Location,Source,Page,Notes
hancock,blue hill,1902.0,blue hill fair,blue hill,ellsworth american,3,premiums
hancock,blue hill,1903.0,blue hill fair,blue hill,ellsworth american,7,premiums
hancock,blue hill,1905.0,blue hill fair,blue hill,ellsworth american,7,premiums
hancock,blue hill,1906.0,blue hill fair,blue hill,ellsworth american,3,premiums
hancock,blue hill,1907.0,blue hill fair,blue hill,ellsworth american,3,premiums
hancock,blue hill,1907.0,halcyon grange fair,north blue hill,ellsworth american,5,premiums
hancock,blue hill,1908.0,blue hill fair,blue hill,ellsworth american,3,premiums
hancock,blue hill,1909.0,blue hill fair,blue hill,ellsworth american,3,premiums
hancock,blue hill,1910.0,blue hill fair,blue hill,ellsworth american,7,premiums
hancock,blue hill,1911.0,blue hill fair,blue hill,ellsworth american,3,premiums
hancock,blue hill,1912.0,blue hill fair,blue hill,ellsworth american,3,premiums
hancock,blue hill,1913.0,blue hill fair,blue hill,ellsworth american,3,premiums
hancock,blue hill,1914.0,blue hill fair,blue hill,ellsworth american,3,premiums
hancock,ellsworth,1904.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,3,premiums
hancock,ellsworth,1905.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,3,premiums
hancock,ellsworth,1906.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,3,premiums
hancock,ellsworth,1907.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,3,premiums
hancock,ellsworth,1909.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,5,premiums
hancock,ellsworth,1910.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,5,premiums
hancock,ellsworth,1910.0,harvest home grange fair,west ellsworth,ellsworth american,1,premiums
hancock,ellsworth,1911.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,3,premiums
hancock,ellsworth,1912.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,5,premiums
hancock,ellsworth,1913.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,5,premiums
hancock,ellsworth,1913.0,nicolin grange fair,north ellsworth,ellsworth american,4,premiums
hancock,ellsworth,1914.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,4,premiums
hancock,ellsworth,1914.0,nicolin grange fair,north ellsworth,ellsworth american,5,premiums
hancock,ellsworth,1915.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,5,premiums
hancock,ellsworth,1916.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,4,premiums
hancock,orland,1883.0,narramissic grange fair,orland,ellsworth american,2,description
hancock,orland,1884.0,narramissic grange fair,orland,ellsworth american,4,premiums
hancock,orland,1885.0,narramissic grange fair,orland,mount desert herald,2,premiums
