Given_ID,Presumed_ID
(pear) swan's orange,
(pear) sycle,
(pear) telephone,
(pear) tyler,
(pear) tyron,
(pear) tyson,
(pear) unnamed,
(pear) urbanist,
(pear) urbaniste,
(pear) vermont beauty,
(pear) vica,
(pear) vica of wakefield,
(pear) vicar,
(pear) vicar,(pear) vicar of winkfield
(pear) vicar of wakefield,
(pear) vicar of wakefield,(pear) vicar of winkfield
(pear) vicar of winckfield,
(pear) vicar of winkfield,
(pear) victor,
(pear) vura,(pear) vicar of winkfield
(pear) white doyenne,
(pear) wilkin's beauty,
(pear) winter,
(pear) winter bartlett,
(pear) winter bell,
(pear) winter bells,
(pear) winter mills,(pear) winter nelis
(pear) winter nelis,
(pear) winter nellie,
(pear) winter nellis,
(pear) winter niles,
(pear) winter seneca,
(pear) wonder sickel,
(pear) woodbury,
(pear) worden seckel,
abe lincoln,
acme,
adeline,
alexander,alexander
alexander,
alexandria,alexander
alexandria,
allen,
american beauty,
american beauty,american beauty
american blush,
american golden pippin,
american golden russet,bullock
american golden russet,
american pippin,
american russet,
american russet,bullock
american summer pearmain,
araboskoe,arabaskoe
arctic,arctic
arctic,
arctic baldwin,
arkansas beauty,
arkansas black,
arkansas black,arkansas black
arkansas red,arkansas
arkansas red,
aroostook sweeting,
astrachan,
astrachan,red astrachan
auburn sweet,
august greening,
august sweet,
aunt hannah,
aunt hannah,aunt hannah
austin sweet,
autumn strawberry,late strawberry
autumn strawberry,
autumn sweet,
b. c. oxford,black oxford
bailey sweet,bailey sweet
bailey sweet,
bailey's sweet,bailey sweet
bailey's sweet,bailey's sweet
bailey's sweet,
baker sweet,baker sweet
baker sweet,
baker's sweet,
baking sweet,baker sweet
baldwin,baldwin
baldwin,
baldwin canada,
ball pippin,
ball sweet,
ballister,
bally's sweet,
baltimore pippin,
banana,
banana,winter banana
banana apple,
banana russet,banana russet
banana sweet,
banna,
bare limb greening,
barker red,
barkis,
barley sweet,
barmer sweet,banana sweet
barret greening,
barter,baxter
bartlett sweet,
barton pippin,
basin sweet,
basket apple,
basket sweet,
baxter,
baxter,baxter
beane,deane
beateamer,
beauce,
beauty,
beauty kent,
beauty of kent,beauty of kent
beauty of kent,
beauty of kind,beauty of kent
beauty of sweden,
beauty of the west,
beauty of west,
beauty sweet,
bee stings,
beef steak,
beef-steak,
beefsteak,
beehive,
beet apple,
belflower,yellow bellflower
bell apple,
bell flower,
bell flower,yellow bellflower
bell flown,yellow bellflower
bell's early,sops of wine
bell's early,
belle de boskoop,belle de boskoop
belle flower,yellow bellflower
belle flower,
belle n. franklin,
belle's favorite,sops of wine
bellefleur,
belleflower,
belleflower,yellow bellflower
bellefluer,
bellfleur,yellow bellflower
bellflower,yellow bellflower
bellflower,
bells early,sops of wine
bells early,
bells sweet,
belmont,
belmont beauty,
ben dares,ben davis
ben davis,ben davis
ben davis,
benjamin,
benonah,benoni
benoni,benoni
benoni,
benorie,benoni
benorie,
benton,benton red
benton red,benton red
benton red,
betenheines,
bethal,
bethel,bethel
bethel,
beverage,
bicknell,
big ben,
bismark,
bismark,bismark
bitinhammer,
bitter sweet,
bl. b. davis,black ben davis
black,
black,black oxford
black apple,black oxford
black apple,
black baldwin,
black baldwin,black baldwin
black ben,
black ben,black ben davis
black ben davis,black ben davis
black ben davis,
black fall,
black gilflower,
black gilliflower,
black gilly flower,
black knox,
black oxford,black oxford
black oxford,
black oxofrd,
black russet,
black russett,
black sweet,blake sweet
black twig,
black winter,
blake,
blake sweet,
blemans orange,blenheim orange
blenden pippin,blenheim pippin
blk oxford,
blood pippin,
blood sweet,
bloodstone pippin,
bloom,bloom
bloomfield,
bloomfield porter,
bloomfield's long stem sweet,
blue bell,
blue crab,
blue mountain,
blue norman,
blue oxford,black oxford
blue oxford,
blue pairmain,blue pearmain
blue pairmain,
blue paumaid,
blue pear,
blue pear main,blue pearmain
blue pear maine,
blue pearmaide,
blue pearmain,blue pearmain
blue pearmain,
blue pearmain,blue pearman
blue pearmaine,
blue pearmaine,blue pearmain
blue pomane,
bluepearmain,
blush,
blushing beauty,
boardman,
boiken,
booad,
boston apple,
boston red,
boston sweet,
bottle,bottle greening
bottle green,
bottle greening,bottle greening
bottle greening,
box russet,roxbury russet
boyd baldwin,
brackett,
bretegemer,
bretigheimer,
bretymany,
briggs auburn,
briggs auburn,briggs auburn
broadwell,
brooks favorite,
brown sweet,
brown's best,
brunswick pippin,
buck,
buck sweet,
buffalo sweeting,
bullard sweet,
bumpus,
burbank beauty,
c h russet,kavanagh russet
c. red streak,
cab. head russet,
calef,
caleph sweet,
california,
california belleflower,
california pippin,
california sweet,
caliph,
calvert,
calvert,colvert
camper's market,cooper's market
canada,
canada baldwin,canada baldwin
canada baldwin,
canada greening,
canada nonesuch,red canada
canada peach,
canada pearmain,
canada pippin,
canada porter,
canada red,
canada red,canada red
canada reinett,canada reinette
canada reinsten,canada reinette
canada rennet,canada reinette
canada russet,
canada stripe,
canadian baldwin,
canadian greening,new brunswick greening
canadian red,
cananda red,
candy red,
cane pippin,ortley
canes,gano
cape cod,
carleton,
carroll sweet,
cat head,
cat head russett,
cat-head,
cathead,
cathead russet,kavanagh russet
cathead russet,
cathead sweet,
cathead sweeting,
catskill,
cavanaugh,
cayuca red,
cayuga red streak,
cayuga red stripe,twenty ounce
centini,
chamberlain,
champion,
chase apple,
chase jelly crab,
chase's jelly crab,
chenango strakeberry,chenango strawberry
chenango strawberry,
chenango strawberry,chenango strawberry
cherry crab,
chestnut,
chick's red,
children's choice,
china,
christmas sweet,
chute,
cinch greening,
clark,clark
clark sweet,
clark's favorite,
clarke,
clie's beauty,
cluster crab,
clyde beauty,
cobert,
coburn sweet,
codling,
colcord sweet,
cole quince,
cole's quince,
collins,collins
colooct,
color quince,cole's quince
columbus,
colvert,colvert
colvert,
common cathead,
common russet,
common russets,
common sweet,
concord,
congress,congress
connecticut greening,
connecticut king,
connecticut winter sweet,
cony sweet,
cook,cook
cook's sweet,
cooper market,cooper market
cooper's market,coopers market
cooper's market,cooper's market
cooper's market,
coopers market,
corn field apples,
corn sweet,
